########################################
#
# B-band phtometry of the SN IIb 2011dh
#
########################################
#
# Ergon et al. 2014, A&A, 562, A17
#
# JD           mag    error   Telescope (Instrument)
 2455716.43    15.35  0.02    LT (RATCam)
 2455716.43    15.39  0.02    TNG (LRS)
 2455717.43    15.14  0.02    LT (RATCam)
 2455717.48    15.21  0.03    AS-1.82 m (AFOSC)
 2455717.48    15.12  0.03    CANTAB (BIGST8)
 2455718.48    14.84  0.01    LT (RATCam)
 2455718.57    14.84  0.02    CA-2.2 m (CAFOS)
 2455720.42    14.25  0.01    LT (RATCam)
 2455721.42    14.02  0.01    LT (RATCam)
 2455721.43    14.06  0.01    NOT (ALFOSC)
 2455722.42    13.86  0.01    LT (RATCam)
 2455723.41    13.71  0.01    LT (RATCam)
 2455724.41    13.61  0.01    LT (RATCam)
 2455725.43    13.52  0.02    LT (RATCam)
 2455726.36    13.52  0.01    MONTCAB (BIGST8)
 2455728.40    13.39  0.01    MONTCAB (BIGST8)
 2455729.39    13.34  0.01    LT (RATCam)
 2455730.40    13.33  0.01    LT (RATCam)
 2455731.41    13.30  0.01    LT (RATCam)
 2455732.40    13.35  0.03    CANTAB (BIGST8)
 2455732.41    13.36  0.02    NOT (ALFOSC)
 2455732.46    13.31  0.01    LT (RATCam)
 2455734.52    13.33  0.01    CA-2.2 m (CAFOS)
 2455737.39    13.65  0.01    LT (RATCam)
 2455738.42    13.78  0.02    LT (RATCam)
 2455738.51    13.77  0.02    NOT (ALFOSC)
 2455739.43    13.95  0.02    LT (RATCam)
 2455740.36    14.08  0.04    MONTCAB (BIGST8)
 2455740.43    14.11  0.01    LT (RATCam)
 2455743.41    14.52  0.01    LT (RATCam)
 2455743.42    14.51  0.02    CA-2.2 m (CAFOS)
 2455743.42    14.52  0.01    NOT (ALFOSC)
 2455745.39    14.73  0.01    NOT (ALFOSC)
 2455746.45    14.86  0.03    LT (RATCam)
 2455748.43    14.95  0.01    NOT (ALFOSC)
 2455750.40    15.09  0.01    NOT (ALFOSC)
 2455750.42    15.10  0.02    LT (RATCam)
 2455751.41    15.13  0.01    TJO (MEIA)
 2455753.42    15.28  0.01    LT (RATCam)
 2455753.46    15.23  0.01    NOT (ALFOSC)
 2455755.40    15.29  0.01    NOT (ALFOSC)
 2455756.44    15.26  0.02    AS-Schmidt (SBIG)
 2455756.45    15.37  0.02    LT (RATCam)
 2455757.43    15.37  0.01    NOT (ALFOSC)
 2455759.45    15.43  0.01    LT (RATCam)
 2455761.40    15.42  0.01    AS-Schmidt (SBIG)
 2455762.41    15.44  0.01    NOT (ALFOSC)
 2455763.44    15.45  0.01    AS-Schmidt (SBIG)
 2455765.43    15.51  0.01    NOT (ALFOSC)
 2455771.40    15.58  0.01    CA-2.2 m (CAFOS)
 2455773.39    15.59  0.01    NOT (ALFOSC)
 2455776.38    15.63  0.01    NOT (ALFOSC)
 2455777.33    15.50  0.03    AS-Schmidt (SBIG)
 2455780.40    15.65  0.01    NOT (ALFOSC)
 2455783.43    15.70  0.01    NOT (ALFOSC)
 2455784.33    15.65  0.02    AS-Schmidt (SBIG)
 2455784.39    15.66  0.01    CA-2.2 m (CAFOS)
 2455785.36    15.69  0.02    AS-Schmidt (SBIG)
 2455793.37    15.79  0.01    NOT (ALFOSC)
 2455795.35    15.78  0.01    CA-2.2 m (CAFOS)
 2455797.37    15.81  0.02    AS-Schmidt (SBIG)
 2455798.36    15.83  0.01    NOT (ALFOSC)
 2455799.33    15.81  0.01    AS-Schmidt (SBIG)
 2455801.36    15.88  0.01    NOT (ALFOSC)
 2455801.40    15.79  0.02    AS-Schmidt (SBIG)
 2455803.35    15.86  0.02    AS-Schmidt (SBIG)
 2455805.33    15.85  0.02    AS-Schmidt (SBIG)
 2455810.34    15.99  0.01    NOT (ALFOSC)
 2455812.33    16.01  0.01    CA-2.2 m (CAFOS)
 2455716.01    15.35  0.02    Swift (UVOT)
 2455716.68    15.29  0.02    Swift (UVOT)
 2455717.82    15.03  0.03    Swift (UVOT)
 2455719.03    14.65  0.02    Swift (UVOT)
 2455720.83    14.15  0.02    Swift (UVOT)
 2455721.84    13.96  0.02    Swift (UVOT)
 2455723.18    13.73  0.02    Swift (UVOT)
 2455723.98    13.68  0.02    Swift (UVOT)
 2455725.13    13.57  0.02    Swift (UVOT)
 2455726.66    13.57  0.02    Swift (UVOT)
 2455727.79    13.48  0.02    Swift (UVOT)
 2455729.25    13.42  0.02    Swift (UVOT)
 2455729.60    13.42  0.02    Swift (UVOT)
 2455730.53    13.36  0.02    Swift (UVOT)
 2455731.65    13.35  0.02    Swift (UVOT)
 2455732.67    13.37  0.02    Swift (UVOT)
 2455733.89    13.37  0.02    Swift (UVOT)
 2455734.75    13.44  0.02    Swift (UVOT)
 2455735.95    13.53  0.02    Swift (UVOT)
 2455736.55    13.55  0.02    Swift (UVOT)
 2455737.55    13.70  0.02    Swift (UVOT)
 2455738.76    13.83  0.02    Swift (UVOT)
 2455740.28    14.07  0.02    Swift (UVOT)
 2455741.37    14.23  0.03    Swift (UVOT)
 2455741.77    14.32  0.03    Swift (UVOT)
 2455742.84    14.46  0.03    Swift (UVOT)
 2455743.84    14.55  0.03    Swift (UVOT)
 2455745.25    14.74  0.03    Swift (UVOT)
 2455746.12    14.80  0.03    Swift (UVOT)
 2455750.60    15.03  0.03    Swift (UVOT)
 2455754.62    15.24  0.03    Swift (UVOT)
 2455758.55    15.37  0.03    Swift (UVOT)
 2455762.57    15.45  0.04    Swift (UVOT)
 2455766.52    15.57  0.04    Swift (UVOT)
 2455770.80    15.61  0.04    Swift (UVOT)
 2455775.69    15.60  0.04    Swift (UVOT)
 2455780.50    15.70  0.04    Swift (UVOT)
 2455784.80    15.71  0.04    Swift (UVOT)
 2455788.74    15.73  0.04    Swift (UVOT)
#################################################
#
# Sahu et al. 2013, MNRAS, 433, 2
#
# JD            B     error   Telescope
 2455716.20    15.379 0.014   2-m HCT
 2455718.22    14.972 0.004   2-m HCT
 2455719.22    14.666 0.010   2-m HCT
 2455727.32    13.632 0.010   2-m HCT
 2455732.28    13.389 0.012   2-m HCT
 2455733.23    13.394 0.013   2-m HCT
 2455740.28    14.167 0.027   2-m HCT
 2455754.21    15.442 0.031   2-m HCT
 2455759.23    15.582 0.024   2-m HCT
 2455760.21    15.570 0.035   2-m HCT
 2455761.23    15.624 0.029   2-m HCT
 2455763.18    15.583 0.009   2-m HCT
 2455770.18    15.685 0.007   2-m HCT
 2455776.20    15.723 0.010   2-m HCT
 2455792.13    15.842 0.012   2-m HCT
 2455811.09    16.135 0.014   2-m HCT
 2455885.50    17.427 0.033   2-m HCT
 2455889.51    17.534 0.032   2-m HCT
 2455896.48    17.673 0.023   2-m HCT
 2455919.43    18.085 0.020   2-m HCT
 2455924.47    18.147 0.022   2-m HCT
 2455931.40    18.357 0.044   2-m HCT
 2455941.49    18.416 0.031   2-m HCT
 2455944.51    18.553 0.018   2-m HCT
 2455955.47    18.766 0.036   2-m HCT
 2455984.34    18.974 0.034   2-m HCT
 2456021.41    19.839 0.033   2-m HCT
 2456068.36    20.632 0.088   2-m HCT
