########################################
#
# I-band photometry of the SN Ia 2005cf 
#
########################################
#
# Wang et al. 2009, ApJ, 697, 380
#
# JD           mag    error   Telescope
 2453521.75    15.360 0.041   FLWO
 2453521.77    15.312 0.041   KAIT
 2453522.74    15.062 0.041   FLWO
 2453522.87    14.953 0.041   KAIT
 2453523.15    14.896 0.041   TNT
 2453523.77    14.701 0.041   FLWO
 2453523.87    14.651 0.041   KAIT
 2453524.13    14.573 0.041   TNT
 2453524.63    14.464 0.041   CTIO 1.3m
 2453524.68    14.487 0.041   FLWO
 2453524.79    14.409 0.041   Lick 1.0m
 2453524.85    14.407 0.041   KAIT
 2453525.42    14.269 0.041   Liverpool 2.0m
 2453525.69    14.259 0.041   FLWO
 2453525.76    14.199 0.041   Lick 1.0m
 2453525.87    14.217 0.041   Palomar 1.5m
 2453526.68    14.108 0.041   FLWO
 2453527.44    13.948 0.041   Liverpool 2.0m
 2453527.64    13.948 0.041   CTIO 1.3m
 2453527.69    13.970 0.041   FLWO
 2453527.85    13.915 0.041   KAIT
 2453528.43    13.845 0.041   Liverpool 2.0m
 2453528.75    13.863 0.041   Palomar 1.5m
 2453528.84    13.828 0.041   KAIT
 2453529.43    13.765 0.041   Liverpool 2.0m
 2453529.71    13.778 0.041   CTIO 0.9m
 2453530.42    13.774 0.041   Liverpool 2.0m
 2453530.59    13.755 0.041   CTIO 1.3m
 2453530.68    13.786 0.041   FLWO
 2453531.67    13.783 0.041   FLWO
 2453531.79    13.767 0.041   Palomar 1.5m
 2453531.83    13.767 0.041   KAIT
 2453532.42    13.745 0.041   Liverpool 2.0m
 2453532.87    13.766 0.041   KAIT
 2453533.42    13.772 0.041   Liverpool 2.0m
 2453533.66    13.748 0.041   CTIO 1.3m
 2453533.72    13.785 0.041   Palomar 1.5m
 2453533.84    13.761 0.041   KAIT
 2453534.73    13.821 0.041   FLWO
 2453534.84    13.773 0.041   KAIT
 2453535.43    13.787 0.041   Liverpool 2.0m
 2453535.72    13.812 0.041   Palomar 1.5m
 2453535.74    13.858 0.041   FLWO
 2453536.44    13.800 0.041   Liverpool 2.0m
 2453536.70    13.884 0.041   FLWO
 2453536.83    13.840 0.041   KAIT
 2453537.47    13.833 0.041   Liverpool 2.0m
 2453537.82    13.814 0.041   KAIT
 2453538.68    13.884 0.041   CTIO 1.3m
 2453542.61    14.059 0.041   CTIO 1.3m
 2453542.72    14.117 0.041   KAIT
 2453542.76    14.093 0.041   Palomar 1.5m
 2453543.06    14.143 0.053   TNT
 2453543.68    14.171 0.041   FLWO
 2453543.82    14.168 0.041   KAIT
 2453544.77    14.197 0.041   Palomar 1.5m
 2453544.80    14.248 0.041   KAIT
 2453545.82    14.297 0.041   KAIT
 2453546.75    14.328 0.041   KAIT
 2453547.67    14.336 0.041   CTIO 1.3m
 2453549.74    14.309 0.041   Palomar 1.5m
 2453549.79    14.349 0.041   KAIT
 2453550.66    14.371 0.041   FLWO
 2453550.67    14.340 0.041   CTIO 1.3m
 2453550.79    14.332 0.041   KAIT
 2453552.07    14.316 0.041   TNT
 2453553.44    14.290 0.041   Liverpool 2.0m
 2453553.73    14.270 0.041   KAIT
 2453553.83    14.279 0.041   Palomar 1.5m
 2453554.45    14.280 0.041   Liverpool 2.0m
 2453554.66    14.263 0.041   CTIO 1.3m
 2453555.77    14.294 0.041   KAIT
 2453557.68    14.260 0.041   FLWO
 2453557.73    14.217 0.041   KAIT
 2453559.48    14.230 0.041   Liverpool 2.0m
 2453559.59    14.223 0.041   CTIO 0.9m
 2453559.61    14.201 0.041   CTIO 1.3m
 2453559.70    14.197 0.041   KAIT
 2453559.73    14.192 0.041   Palomar 1.5m
 2453559.76    14.304 0.041   Lick 1.0m
 2453561.73    14.186 0.041   KAIT
 2453562.42    14.220 0.041   Liverpool 2.0m
 2453562.63    14.203 0.041   CTIO 1.3m
 2453563.03    14.196 0.041   TNT
 2453563.42    14.245 0.041   Liverpool 2.0m
 2453563.70    14.232 0.041   Palomar 1.5m
 2453563.73    14.214 0.041   KAIT
 2453565.39    14.311 0.041   Liverpool 2.0m
 2453565.71    14.263 0.041   KAIT
 2453569.40    14.587 0.041   Liverpool 2.0m
 2453569.54    14.536 0.041   CTIO 1.3m
 2453570.70    14.624 0.041   KAIT
 2453570.80    14.583 0.041   Palomar 1.5m
 2453572.70    14.665 0.041   KAIT
 2453573.60    14.829 0.041   CTIO 1.3m
 2453574.70    14.878 0.041   KAIT
 2453574.76    14.865 0.041   Palomar 1.5m
 2453576.40    15.061 0.041   Liverpool 2.0m
 2453576.61    15.002 0.041   CTIO 1.3m
 2453576.73    14.997 0.041   KAIT
 2453578.69    15.096 0.041   KAIT
 2453579.55    15.140 0.041   CTIO 1.3m
 2453580.69    15.169 0.041   KAIT
 2453581.00    15.236 0.065   TNT
 2453582.69    15.270 0.041   KAIT
 2453584.69    15.373 0.041   KAIT
 2453586.69    15.419 0.041   KAIT
 2453588.69    15.589 0.041   KAIT
 2453588.71    15.606 0.042   Palomar 1.5m
 2453590.69    15.605 0.041   KAIT
 2453592.69    15.727 0.041   KAIT
 2453599.68    16.002 0.041   KAIT
 2453601.01    16.074 0.041   TNT
 2453602.67    16.201 0.041   KAIT
 2453604.01    16.297 0.041   TNT
 2453605.67    16.295 0.041   KAIT
 2453608.67    16.443 0.041   KAIT
 2453611.67    16.487 0.041   KAIT
 2453614.66    16.575 0.041   KAIT
 2453617.66    16.744 0.041   KAIT
 2453618.65    16.836 0.041   KAIT
 2453621.66    17.061 0.054   KAIT
 2453624.65    17.054 0.047   KAIT
